sub_ms_class,frontge_lot,area_lot,shape_lot,slopeland,style_house,ovl_quality,ovl_condition,year_constructed,year_remod,masvnrarea,exterqual,extercond,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heatingqc,centralair,1stflrsf,2ndflrsf,lowqualfinsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,functional,fireplacequ,garagetype,garagefinish,garagecars,garagequal,paveddrive,wooddecksf,openporchsf,enclosedporch,3ssnporch,screenporch,poolarea,miscval,mosold,yrsold,zoning_ms_FV,zoning_ms_RH,zoning_ms_RL,zoning_ms_RM,streetname_Pave,contour_land_HLS,contour_land_Low,contour_land_Lvl,util_NoSeWa,configlot_CulDSac,configlot_FR2,configlot_FR3,configlot_Inside,electrical_FuseF,electrical_FuseP,electrical_Mix,electrical_SBrkr,type_building_2fmCon,type_building_Duplex,type_building_Twnhs,type_building_TwnhsE,saleprice
45,55.0,4388,1,1,2,5,7,1930,1950,0.0,2,1,3,1,4,5,116,6,0,556,672,0,1,840,0,0,840,0,0,1,0,3,1,2,5,0,3,7,4,0,6,2,0,0,0,0,0,0,0,6,2007,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,87000
20,80.0,9600,0,1,1,7,6,1973,1973,320.0,2,2,3,1,4,2,916,6,0,326,1242,3,1,1242,0,0,1242,0,0,1,1,3,1,2,6,0,3,2,3,2,3,0,0,0,0,0,0,0,0,9,2007,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,175500
30,50.0,5330,0,1,1,4,7,1940,1950,0.0,3,2,3,1,4,5,280,6,0,140,420,1,1,708,0,0,708,0,0,1,0,2,1,3,5,0,0,7,4,0,6,0,164,0,0,0,0,0,0,12,2009,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,82500
70,57.0,9906,0,1,4,4,4,1925,1950,0.0,2,2,3,1,4,6,0,6,0,686,686,3,0,810,518,0,1328,0,0,1,0,3,1,2,8,0,0,6,3,1,3,0,0,172,60,0,0,0,0,9,2006,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,107000
20,80.0,9600,0,1,1,7,5,1969,1969,168.0,2,2,3,1,4,6,0,6,0,1164,1164,2,1,1164,0,0,1164,0,0,1,1,3,1,2,6,0,0,2,3,2,3,0,0,0,0,0,0,0,0,7,2006,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,140000
60,70.06040268456375,7861,1,1,4,6,5,2002,2003,0.0,1,2,2,1,4,1,457,6,0,326,783,0,1,807,702,0,1509,1,0,2,1,3,1,1,7,0,4,2,1,2,3,0,100,75,0,0,0,0,0,6,2006,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,183200
160,36.0,2448,0,1,4,7,5,2003,2004,106.0,1,2,2,1,4,1,573,6,0,191,764,0,1,764,862,0,1626,1,0,2,1,2,1,1,6,0,0,4,2,2,3,0,0,27,0,0,0,0,0,10,2008,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,154000
20,73.0,8990,1,1,1,7,5,2006,2006,0.0,1,2,2,1,3,6,0,6,0,1498,1498,0,1,1498,0,0,1498,0,0,2,0,2,1,1,5,0,0,2,2,2,3,0,351,33,0,0,0,0,0,4,2006,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,204900
75,60.0,7200,0,1,5,5,7,1920,1996,0.0,2,2,3,3,4,6,0,6,0,530,530,2,0,581,530,0,1111,0,0,1,0,3,1,3,6,0,0,6,3,1,3,2,0,0,144,0,0,0,0,3,2007,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,101000
80,70.06040268456375,14115,0,1,7,7,5,1980,1980,225.0,2,2,2,1,2,1,1036,6,0,336,1372,2,1,1472,0,0,1472,1,0,2,0,3,1,2,6,0,3,2,3,2,3,0,233,48,0,0,0,0,0,6,2009,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,187500
